UF;Sexo;Idade;Cor;Anos de Estudo;Renda;Altura
Rondônia;Homem;23;Parda;12;800;1.603807616
Rondônia;Mulher;23;Branca;12;1150;1.739789827
Rondônia;Mulher;35;Parda;15;880;1.760443822
Rondônia;Homem;46;Branca;6;3500;1.783157945
Rondônia;Mulher;47;Parda;9;150;1.690630954
Rondônia;Mulher;34;Parda;12;790;1.637905598
Rondônia;Homem;57;Parda;12;3150;1.570078218
Rondônia;Mulher;60;Parda;12;1700;1.608495442
Rondônia;Mulher;50;Preta;14;1800;1.780328883
Rondônia;Homem;26;Parda;12;1150;1.793202625
Rondônia;Mulher;46;Parda;12;3000;1.787003282
Rondônia;Mulher;49;Parda;6;2500;1.712911548
Rondônia;Mulher;52;Branca;6;1200;1.736442076
Rondônia;Homem;38;Parda;12;2000;1.750826666
Rondônia;Homem;45;Branca;12;2000;1.780450392
Rondônia;Homem;34;Branca;16;6000;1.711825037
Rondônia;Mulher;43;Parda;10;1050;1.789011804
Rondônia;Homem;53;Parda;16;7000;1.673665133
Rondônia;Homem;57;Branca;12;2000;1.715137632
Rondônia;Mulher;62;Parda;12;1150;1.76597309
Rondônia;Homem;69;Parda;1;3030;1.746351196
Rondônia;Mulher;41;Parda;16;4000;1.660873129
Rondônia;Homem;34;Parda;5;788;1.746048026
Rondônia;Homem;25;Parda;12;1000;1.726496158
Rondônia;Homem;33;Parda;9;800;1.778913561
Rondônia;Mulher;44;Parda;5;788;1.668637941
Rondônia;Homem;33;Branca;16;1600;1.783770601
Rondônia;Homem;65;Branca;12;1700;1.873445247
Rondônia;Homem;33;Parda;14;2000;1.890250314
Rondônia;Homem;32;Parda;12;2400;1.660204145
Rondônia;Homem;43;Parda;5;3000;1.636361741
Rondônia;Homem;30;Parda;1;920;1.685590822
Rondônia;Homem;26;Branca;10;1300;1.68402625
Rondônia;Homem;52;Branca;15;2000;1.67104419
Rondônia;Homem;62;Parda;1;1300;1.632129706
Rondônia;Homem;64;Amarela;5;600;1.712121503
Rondônia;Homem;31;Parda;7;1200;1.763447989
Rondônia;Homem;63;Branca;3;1000;1.694500204
Rondônia;Mulher;40;Branca;9;1000;1.705147683
Rondônia;Homem;47;Preta;9;1500;1.672258066
Rondônia;Homem;34;Branca;7;900;1.645452653
Rondônia;Homem;33;Parda;6;900;1.814785789
Rondônia;Homem;63;Parda;6;0;1.652746296
Rondônia;Mulher;40;Parda;2;300;1.757341995
Rondônia;Homem;41;Parda;6;1600;1.611286043
Rondônia;Homem;28;Branca;10;1500;1.693976403
Rondônia;Mulher;32;Parda;12;750;1.684819452
Rondônia;Homem;44;Branca;1;800;1.701974845
Rondônia;Mulher;38;Branca;12;3600;1.599083153
Rondônia;Homem;41;Branca;4;1500;1.646862718
Rondônia;Homem;62;Parda;8;3000;1.752071058
Rondônia;Homem;37;Parda;7;2300;1.576576371
Rondônia;Homem;41;Branca;12;1500;1.697451547
Rondônia;Homem;41;Parda;12;4500;1.573698003
Rondônia;Mulher;46;Branca;16;4800;1.727453392
Rondônia;Mulher;46;Parda;12;900;1.663525091
Rondônia;Mulher;45;Branca;7;400;1.450378572
Rondônia;Homem;60;Parda;2;1050;1.75151196
